#,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-07T09:50:28', checksum=2543335689"
rlz_id,branch_path,weight
0,AA~AAA,1.0150000e-02
1,AA~AAB,9.8000001e-03
2,AA~AAC,9.8000001e-03
3,AA~AAD,5.2499999e-03
4,AA~ABA,8.7000001e-03
5,AA~ABB,8.3999997e-03
6,AA~ABC,8.3999997e-03
7,AA~ABD,4.4999998e-03
8,AA~ACA,7.2499998e-03
9,AA~ACB,7.0000002e-03
10,AA~ACC,7.0000002e-03
11,AA~ACD,3.7499999e-03
12,AA~ADA,2.9000000e-03
13,AA~ADB,2.7999999e-03
14,AA~ADC,2.7999999e-03
15,AA~ADD,1.5000000e-03
16,AA~BAA,1.0150000e-02
17,AA~BAB,9.8000001e-03
18,AA~BAC,9.8000001e-03
19,AA~BAD,5.2499999e-03
20,AA~BBA,8.7000001e-03
21,AA~BBB,8.3999997e-03
22,AA~BBC,8.3999997e-03
23,AA~BBD,4.4999998e-03
24,AA~BCA,7.2499998e-03
25,AA~BCB,7.0000002e-03
26,AA~BCC,7.0000002e-03
27,AA~BCD,3.7499999e-03
28,AA~BDA,2.9000000e-03
29,AA~BDB,2.7999999e-03
30,AA~BDC,2.7999999e-03
31,AA~BDD,1.5000000e-03
32,AA~CAA,1.0150000e-02
33,AA~CAB,9.8000001e-03
34,AA~CAC,9.8000001e-03
35,AA~CAD,5.2499999e-03
36,AA~CBA,8.7000001e-03
37,AA~CBB,8.3999997e-03
38,AA~CBC,8.3999997e-03
39,AA~CBD,4.4999998e-03
40,AA~CCA,7.2499998e-03
41,AA~CCB,7.0000002e-03
42,AA~CCC,7.0000002e-03
43,AA~CCD,3.7499999e-03
44,AA~CDA,2.9000000e-03
45,AA~CDB,2.7999999e-03
46,AA~CDC,2.7999999e-03
47,AA~CDD,1.5000000e-03
48,AA~DAA,1.0150000e-02
49,AA~DAB,9.8000001e-03
50,AA~DAC,9.8000001e-03
51,AA~DAD,5.2499999e-03
52,AA~DBA,8.7000001e-03
53,AA~DBB,8.3999997e-03
54,AA~DBC,8.3999997e-03
55,AA~DBD,4.4999998e-03
56,AA~DCA,7.2499998e-03
57,AA~DCB,7.0000002e-03
58,AA~DCC,7.0000002e-03
59,AA~DCD,3.7499999e-03
60,AA~DDA,2.9000000e-03
61,AA~DDB,2.7999999e-03
62,AA~DDC,2.7999999e-03
63,AA~DDD,1.5000000e-03
64,AA~EAA,1.0150000e-02
65,AA~EAB,9.8000001e-03
66,AA~EAC,9.8000001e-03
67,AA~EAD,5.2499999e-03
68,AA~EBA,8.7000001e-03
69,AA~EBB,8.3999997e-03
70,AA~EBC,8.3999997e-03
71,AA~EBD,4.4999998e-03
72,AA~ECA,7.2499998e-03
73,AA~ECB,7.0000002e-03
74,AA~ECC,7.0000002e-03
75,AA~ECD,3.7499999e-03
76,AA~EDA,2.9000000e-03
77,AA~EDB,2.7999999e-03
78,AA~EDC,2.7999999e-03
79,AA~EDD,1.5000000e-03
80,AB~AAA,1.0150000e-02
81,AB~AAB,9.8000001e-03
82,AB~AAC,9.8000001e-03
83,AB~AAD,5.2499999e-03
84,AB~ABA,8.7000001e-03
85,AB~ABB,8.3999997e-03
86,AB~ABC,8.3999997e-03
87,AB~ABD,4.4999998e-03
88,AB~ACA,7.2499998e-03
89,AB~ACB,7.0000002e-03
90,AB~ACC,7.0000002e-03
91,AB~ACD,3.7499999e-03
92,AB~ADA,2.9000000e-03
93,AB~ADB,2.7999999e-03
94,AB~ADC,2.7999999e-03
95,AB~ADD,1.5000000e-03
96,AB~BAA,1.0150000e-02
97,AB~BAB,9.8000001e-03
98,AB~BAC,9.8000001e-03
99,AB~BAD,5.2499999e-03
100,AB~BBA,8.7000001e-03
101,AB~BBB,8.3999997e-03
102,AB~BBC,8.3999997e-03
103,AB~BBD,4.4999998e-03
104,AB~BCA,7.2499998e-03
105,AB~BCB,7.0000002e-03
106,AB~BCC,7.0000002e-03
107,AB~BCD,3.7499999e-03
108,AB~BDA,2.9000000e-03
109,AB~BDB,2.7999999e-03
110,AB~BDC,2.7999999e-03
111,AB~BDD,1.5000000e-03
112,AB~CAA,1.0150000e-02
113,AB~CAB,9.8000001e-03
114,AB~CAC,9.8000001e-03
115,AB~CAD,5.2499999e-03
116,AB~CBA,8.7000001e-03
117,AB~CBB,8.3999997e-03
118,AB~CBC,8.3999997e-03
119,AB~CBD,4.4999998e-03
120,AB~CCA,7.2499998e-03
121,AB~CCB,7.0000002e-03
122,AB~CCC,7.0000002e-03
123,AB~CCD,3.7499999e-03
124,AB~CDA,2.9000000e-03
125,AB~CDB,2.7999999e-03
126,AB~CDC,2.7999999e-03
127,AB~CDD,1.5000000e-03
128,AB~DAA,1.0150000e-02
129,AB~DAB,9.8000001e-03
130,AB~DAC,9.8000001e-03
131,AB~DAD,5.2499999e-03
132,AB~DBA,8.7000001e-03
133,AB~DBB,8.3999997e-03
134,AB~DBC,8.3999997e-03
135,AB~DBD,4.4999998e-03
136,AB~DCA,7.2499998e-03
137,AB~DCB,7.0000002e-03
138,AB~DCC,7.0000002e-03
139,AB~DCD,3.7499999e-03
140,AB~DDA,2.9000000e-03
141,AB~DDB,2.7999999e-03
142,AB~DDC,2.7999999e-03
143,AB~DDD,1.5000000e-03
144,AB~EAA,1.0150000e-02
145,AB~EAB,9.8000001e-03
146,AB~EAC,9.8000001e-03
147,AB~EAD,5.2499999e-03
148,AB~EBA,8.7000001e-03
149,AB~EBB,8.3999997e-03
150,AB~EBC,8.3999997e-03
151,AB~EBD,4.4999998e-03
152,AB~ECA,7.2499998e-03
153,AB~ECB,7.0000002e-03
154,AB~ECC,7.0000002e-03
155,AB~ECD,3.7499999e-03
156,AB~EDA,2.9000000e-03
157,AB~EDB,2.7999999e-03
158,AB~EDC,2.7999999e-03
159,AB~EDD,1.5000000e-03
